NDVI,QA,TIMEOFDAY,date
5350.168091168092,793.0360419397116,536.0,2022-09-23
1542.256955810147,1740.5897176218282,518.0,2022-09-24
300.02686246418347,1671.5113785297276,500.0,2022-09-25
107.11632418015395,1673.6445847730251,442.0,2022-09-26
1461.496514517791,1630.5522459192189,518.9079226526034,2022-09-27
3554.3560647390427,1200.0495055403317,542.0,2022-09-28
4224.080257016427,919.9557964970812,524.0,2022-09-29
647.33267669532,1762.5281782437748,506.0,2022-09-30
2808.016063526701,1200.0268080543315,448.0,2022-10-01
714.7224949990909,1582.6735374717027,430.0,2022-10-02
128.06419348972543,1639.4522816632916,548.0,2022-10-03
4533.121900951687,891.1698439175508,530.0,2022-10-04
3609.737952354974,944.119921363041,512.0,2022-10-05
2536.765652410623,1722.2558679852264,454.0,2022-10-06
2047.6489058616712,1013.4767663529133,436.0,2022-10-07
3023.945142223863,1071.3948528535686,488.25243196650644,2022-10-08
1792.4673723461835,1349.094066483975,536.0,2022-10-09
516.1158998605806,828.1094960085787,518.0,2022-10-10
-76.82681699702975,1352.4936256404153,500.0,2022-10-11
-240.52753623188406,26.533718575002986,442.0,2022-10-12
81.19603629417385,1332.6690098891943,570.8452722063039,2022-10-13
3974.88335721108,915.2266174192781,542.0,2022-10-14
-76.34896825396824,1389.2076730608846,524.0,2022-10-15
506.64577363896854,1803.0648159180273,506.0,2022-10-16
6287.38740377038,161.42273323007268,448.0,2022-10-17
865.3775071633239,1803.0648159180273,430.0,2022-10-18
838.4243195732554,1389.9491242702256,500.77880826816994,2022-10-19
-25.850465616045856,1695.0281186703205,530.0,2022-10-20
1217.0151835944591,1795.7082092219712,512.0,2022-10-21
5340.106382978723,358.7681996902181,454.0,2022-10-22
2504.398473094446,1220.2188132967956,436.0,2022-10-23
654.0001193887298,1498.1554867151208,543.1537726838586,2022-10-24
398.13181295747387,1035.4861193852025,536.0,2022-10-25
3246.635812571983,1766.413916358871,518.0,2022-10-26
1084.1773180642774,981.629810556416,500.0,2022-10-27
-4.642116748499727,1803.5509353032294,442.0,2022-10-28
-141.3421084049666,1802.943286071727,581.4880611270297,2022-10-29
165.0363702491362,1803.5509353032294,542.0,2022-10-30
1287.6962196773795,1804.0370546884312,524.0,2022-10-31
1675.5837424986362,1791.0757774335761,506.0,2022-11-01
3881.707340728616,577.4207673060885,448.0,2022-11-02
2575.9484148633082,974.2356725842969,430.0,2022-11-03
2898.6341583548806,1051.2517574168953,444.4233468784631,2022-11-04
2460.285688306965,1368.1687120219233,530.0,2022-11-05
3833.4425046978245,645.788752531872,512.0,2022-11-06
2672.3769699140394,907.1205170975817,454.0,2022-11-07
819.8773110262471,1803.4294054569289,436.0,2022-11-08
1549.092986603625,1470.8527939949963,478.2630781354185,2022-11-09
2661.8878583984974,1797.4739664005724,536.0,2022-11-10
2333.1362065830144,905.7988204456094,518.0,2022-11-11
4268.8524952244525,810.361312998928,500.0,2022-11-12
1870.7085131669478,1042.4331585845348,442.0,2022-11-13
906.8222301814709,1519.0069105206728,513.323782234957,2022-11-14
3644.838334242589,1072.8525557011799,542.0,2022-11-15
4045.5995029399273,824.6853925890624,524.0,2022-11-16
74.60780802292265,1467.6996306445856,506.0,2022-11-17
763.2881129902405,1238.4345287739784,448.0,2022-11-18
2105.206009112178,1623.3152031454786,430.0,2022-11-19
271.92117839211176,1597.0974621708574,529.4543584780108,2022-11-20
74.76826089592046,1298.0782795186472,530.0,2022-11-21
5545.635327635325,278.7523531514357,512.0,2022-11-22
3101.248287567436,1780.095674967235,454.0,2022-11-23
3549.4096824259796,767.4897533659004,436.0,2022-11-24
5446.713705522216,230.5327653997379,452.80760138206927,2022-11-25
6145.514881493606,218.44090313356372,536.0,2022-11-26
2684.4663878280894,781.5761348743004,518.0,2022-11-27
5365.571752626551,332.64136780650546,500.0,2022-11-28
2853.4770773638975,931.6315381865845,442.0,2022-11-29
3519.8446752626555,976.7639104015252,450.6332378223497,2022-11-30
4388.271140207309,701.0337185750031,542.0,2022-12-01
4567.23851742396,675.5783986655546,524.0,2022-12-02
3799.6457537734123,761.7973906827117,506.0,2022-12-03
3598.8339698126933,807.9190396759208,448.0,2022-12-04
913.5512177650434,1751.3645895389018,430.0,2022-12-05
724.3852215554344,1218.9591326105092,530.9741165060314,2022-12-06
689.5959871491783,1699.265935898964,530.0,2022-12-07
28.658059041037763,1593.1203383772192,512.0,2022-12-08
2598.840031520882,1304.4564518050763,454.0,2022-12-09
166.1378432442262,1250.068747765996,436.0,2022-12-10
1199.933500477555,1803.0648159180273,552.3946991404014,2022-12-11
1113.8220510983767,1030.2320981770526,536.0,2022-12-12
425.1583318179063,1140.9644942213758,518.0,2022-12-13
2421.023459885387,1198.4827832717745,500.0,2022-12-14
63.640878701050646,1690.6968902656977,442.0,2022-12-15
1850.8016356255964,1725.5601096151559,600.0,2022-12-16
996.6420561314177,1059.7146431550107,542.0,2022-12-17
1772.98048129963,1031.1934945788157,524.0,2022-12-18
824.0277578796563,1803.0648159180273,506.0,2022-12-19
125.22516714422159,1727.3140712498514,448.0,2022-12-20
529.3937685639812,1626.2147623019189,430.0,2022-12-21
435.42935079105274,1619.0772071964739,510.0415227010971,2022-12-22
921.338505110208,1077.4738472536637,530.0,2022-12-23
102.87349215008787,1128.3368283093057,512.0,2022-12-24
87.5097695239247,1038.1092577147626,454.0,2022-12-25
576.0070804088167,1036.0370546884315,436.0,2022-12-26
1660.6600594047402,1043.5460502799958,531.7166757592291,2022-12-27
152.97415234001915,1035.0648159180273,536.0,2022-12-28
204.69782712511935,1582.370427737401,518.0,2022-12-29
1315.7423774019512,1638.9545454545457,500.0,2022-12-30
484.2947110792743,1578.0239485285363,442.0,2022-12-31
-369.9557067812799,1644.1819373287271,512.0,2023-01-01
801.7380129720551,1764.0055999046829,454.0,2023-01-02
221.66167959610874,1091.8854998212798,430.0,2023-01-03
607.0930038204394,1374.9334564518056,456.23937440305633,2023-01-04
1111.0946155682905,1037.9585964494227,536.0,2023-01-05
1348.0944961795606,1098.7415703562492,518.0,2023-01-06
940.3918935052533,1035.0690456332663,500.0,2023-01-07
3789.346244771776,779.1984391755035,442.0,2023-01-08
2396.571912326068,1033.574288097224,532.1281861839673,2023-01-09
2581.972176759411,1692.1661503633984,542.0,2023-01-10
681.4602655028185,1051.2182771357086,524.0,2023-01-11
3542.6385403406675,864.5865602287622,506.0,2023-01-12
886.7077650481905,1478.9478136542361,448.0,2023-01-13
6548.139237437109,471.9662218515431,424.0,2023-01-14
2659.986118688247,1296.1868223519602,524.2429532642296,2023-01-15
531.185185185185,1035.5509353032294,530.0,2023-01-16
1971.5743791786053,1030.5256165852497,512.0,2023-01-17
924.5511580706783,1034.943286071727,454.0,2023-01-18
216.42199503962257,1107.0886452996551,430.8874236283347,2023-01-19
948.5803022855736,1035.9266650780417,526.4392971246007,2023-01-20
487.8758773550055,1693.4077207196476,536.0,2023-01-21
2686.5950006156872,1788.985821517932,518.0,2023-01-22
6804.5728868194865,244.46800905516506,500.0,2023-01-23
560.328483966782,1035.557547956631,442.0,2023-01-24
2153.6499969691463,1017.1696056237342,484.76753349093775,2023-01-25
2931.853427895981,974.2241153342071,542.0,2023-01-26
666.8058736608791,1077.3362325747653,524.0,2023-01-27
1078.8317325452529,1250.8446324317888,506.0,2023-01-28
477.0082439231374,1035.5509353032294,448.0,2023-01-29
1244.1545735588284,1022.9594304777795,424.0,2023-01-30
362.84338515516305,1035.4405456928398,439.56941503841267,2023-01-31
5959.348910232728,371.22590253782914,530.0,2023-02-01
1910.6000484936653,1010.5046467294176,512.0,2023-02-02
969.9759350184881,1035.565709519838,454.0,2023-02-03
1548.0744377765652,1032.154414392947,430.0,2023-02-04
6787.811783667622,307.400512331705,493.98567335243547,2023-02-05
6320.232708977389,540.2375789348266,536.0,2023-02-06
5010.936170212764,769.6504825449782,518.0,2023-02-07
3326.824916427889,1231.431311807459,500.0,2023-02-08
1236.0921379644776,1803.5509353032294,442.0,2023-02-09
6496.43504879675,315.68670320505186,444.1576044129236,2023-02-10
5581.0056373886155,568.2194090313358,542.0,2023-02-11
5163.113837153774,640.3290837602768,524.0,2023-02-12
7007.1263729703915,113.64160610032171,506.0,2023-02-13
6307.7372249499895,407.0880495651139,448.0,2023-02-14
520.8480329756925,1035.5509353032294,424.0,2023-02-15
1429.5493119961209,1024.0215655903733,462.7500757713523,2023-02-16
1338.3695217312243,1081.4100440843565,530.0,2023-02-17
1463.175304600836,1575.2923269391167,512.0,2023-02-18
141.23567842235798,1795.6920052424646,454.0,2023-02-19
800.9460959885388,1035.0192422256648,430.76772922636115,2023-02-20
929.9453840092139,1083.0728583343268,435.662362853852,2023-02-21
1080.8541553009638,1035.5509353032294,536.0,2023-02-22
2108.031817096466,947.8448111521507,518.0,2023-02-23
1466.245014245014,1010.4938043607771,500.0,2023-02-24
868.9492635024548,1161.1870606457765,442.0,2023-02-25
1154.1691141356253,1035.0904920767312,435.57855778414523,2023-02-26
951.5424622658663,1035.6271893244375,542.0,2023-02-27
1814.84626277552,1217.6399380436083,524.0,2023-02-28
3313.4967765042984,668.284761110449,506.0,2023-03-01
5648.130909742121,419.838198498749,448.0,2023-03-02
1535.1392980541916,1083.608602406767,424.0,2023-03-03
1384.008058739255,1040.7821994519247,473.27029608404973,2023-03-04
2872.817663817663,1078.0188847849402,530.0,2023-03-05
2858.1470272206307,974.9995234123677,512.0,2023-03-06
5018.194883918288,544.9089717621829,454.0,2023-03-07
1731.9698733102982,1041.5158465387829,436.0,2023-03-08
1877.8642783536393,1038.242523531515,448.436079287143,2023-03-09
3315.6347820815913,828.7893482664126,536.0,2023-03-10
3453.952184813754,898.7314428690578,518.0,2023-03-11
902.1002865329513,1034.9886810437274,500.0,2023-03-12
600.9579923622479,1033.4457881567978,442.0,2023-03-13
2054.042633764964,1053.0798284284526,519.2049841192278,2023-03-14
4354.930229738741,851.9487668295008,542.0,2023-03-15
3423.6586652118563,935.8880019063508,524.0,2023-03-16
3651.0196394460363,783.2038007863698,506.0,2023-03-17
3916.8351821543306,837.0523650661266,448.0,2023-03-18
3164.8022064617803,1007.2926248063865,430.0,2023-03-19
5409.596883954156,256.5419992851186,441.3474212034384,2023-03-20
5349.004364429895,449.2139878470154,530.0,2023-03-21
6270.040067891129,82.83379006314786,512.0,2023-03-22
6206.5130629811465,72.4294054569284,454.0,2023-03-23
5583.070976599809,288.41469081377335,436.0,2023-03-24
5579.848232976232,592.0222208983677,483.734392316217,2023-03-25
3988.9022442683445,824.7776122959609,536.0,2023-03-26
3329.279876087216,903.520671988562,518.0,2023-03-27
3459.0005969436484,799.9081377338259,500.0,2023-03-28
1588.0656323112914,1035.5084594304783,442.0,2023-03-29
5102.009698733103,588.046526867628,438.1464508698551,2023-03-30
3479.802933866763,992.4407839866559,542.0,2023-03-31
3923.485239740559,825.1716311211726,524.0,2023-04-01
4484.4611389684815,526.7979864172527,506.0,2023-04-02
1937.2772625325813,994.5167401405935,448.0,2023-04-03
639.4832258834766,1036.2667103538668,430.0,2023-04-04
2265.1908428844317,1044.0740498034081,505.67633715377275,2023-04-05
5430.065842884434,294.10449183843684,530.0,2023-04-06
5711.798084500209,81.75670201358275,512.0,2023-04-07
387.6486633933442,1035.5509353032294,454.0,2023-04-08
2094.913135721646,1003.4204098653645,436.0,2023-04-09
2960.0270401064668,1018.0991898010251,466.8122920573466,2023-04-10
2843.389525368248,1456.6570951983804,536.0,2023-04-11
826.3013881311753,1544.4552007625407,518.0,2023-04-12
2380.6467287488063,1276.3950315739312,500.0,2023-04-13
3534.0189125295497,789.5758370070298,442.0,2023-04-14
2609.2270040635376,1310.7702847611113,465.8923777859869,2023-04-15
2097.71394460363,1083.727213153819,542.0,2023-04-16
1477.716153295129,1139.2864291671638,524.0,2023-04-17
3465.3009031945203,594.3871083045399,506.0,2023-04-18
5035.9481852913095,219.35595138806153,448.0,2023-04-19
3860.0215490703104,877.5069700941261,430.0,2023-04-20
3766.1994908165116,981.0157273918743,456.72473783112076,2023-04-21
3193.2276171425096,1784.5707136899803,530.0,2023-04-22
3177.165181548159,989.5014297628978,512.0,2023-04-23
4312.985512517427,473.5176337424044,454.0,2023-04-24
793.6119900587985,1041.4599666388663,436.0,2023-04-25
1910.4553555191849,1047.9554390563567,537.561617263745,2023-04-26
1789.10064469914,1032.3799594900518,536.0,2023-04-27
2476.934351700309,1063.1441081853927,518.0,2023-04-28
3709.5014326647574,532.6287382342431,500.0,2023-04-29
2866.890161310183,944.4528773978317,442.0,2023-04-30
2148.61329990449,1059.189026569761,446.5988538681949,2023-05-01
2818.1731223858887,996.2259025378293,542.0,2023-05-02
3581.39886039886,859.9046824734901,524.0,2023-05-03
1139.9718130569195,1047.540390801859,506.0,2023-05-04
