date,NDBI,NDBI_smooth
2019-12-30,-0.2355364777961324,-0.25097200185260476
2019-12-31,-0.25327127819436657,-0.2584990319515479
2020-01-01,-0.27100607859260073,-0.26439290089101386
2020-01-02,-0.28874087899083495,-0.27085358441513885
2020-01-03,-0.3064756793890691,-0.2762075797488329
2020-01-04,-0.2889253857896737,-0.2788337259610658
2020-01-05,-0.2713750921902783,-0.27716320396486727
2020-01-06,-0.25382479859088286,-0.2696795365173266
2020-01-07,-0.23627450499148742,-0.25833500242220164
2020-01-08,-0.25515269958699893,-0.2443962676150544
2020-01-09,-0.2383712753221505,-0.229370320369392
2020-01-10,-0.22158985105730208,-0.2150044712966666
2020-01-11,-0.20480842679245365,-0.20328635334627557
2020-01-12,-0.18802700252760524,-0.18954399864808463
2020-01-13,-0.1712455782627568,-0.17521002579240078
2020-01-14,-0.16242476031806047,-0.16137981067218332
2020-01-15,-0.15360394237336414,-0.14881148648304357
2020-01-16,-0.1447831244286678,-0.14296988824254003
2020-01-17,-0.13596230648397148,-0.1426355769927825
2020-01-18,-0.12714148853927515,-0.14725026493377583
2020-01-19,-0.14685651299681257,-0.156032072934772
2020-01-20,-0.16657153745435,-0.16797553053427022
2020-01-21,-0.18628656191188742,-0.18185157594001677
2020-01-22,-0.20600158636942484,-0.19865739856115983
2020-01-23,-0.22571661082696226,-0.2162061043312763
2020-01-24,-0.23364202861030237,-0.23233201937703526
2020-01-25,-0.24156744639364247,-0.2448906900181978
2020-01-26,-0.24949286417698258,-0.25175888276761715
2020-01-27,-0.2574182819603227,-0.25290964687195305
2020-01-28,-0.2653436997436628,-0.25002063244674383
2020-01-29,-0.2541780504622903,-0.24480843296192892
2020-01-30,-0.24301240118091785,-0.2390285852418487
2020-01-31,-0.2318467518995454,-0.23447556946524473
2020-02-01,-0.22068110261817292,-0.2398076097831347
2020-02-02,-0.20951545333680047,-0.24096190044885846
2020-02-03,-0.22492723713302287,-0.2395232555382707
2020-02-04,-0.24033902092924528,-0.23706984189607022
2020-02-05,-0.2557508047254677,-0.2351731791357994
2020-02-06,-0.27116258852169006,-0.23437513017971434
2020-02-07,-0.2865743723179125,-0.23341506901158066
2020-02-08,-0.18217571375638744,-0.23106069216894903
2020-02-09,-0.1908356505824884,-0.22610801874315525
2020-02-10,-0.1994955874085893,-0.2173813903793205
2020-02-11,-0.20815552423469025,-0.20435820757267048
2020-02-12,-0.2168154610607912,-0.1905098883182446
2020-02-13,-0.20252016958615893,-0.17918499856533326
2020-02-14,-0.18822487811152663,-0.1736092522174775
2020-02-15,-0.17392958663689437,-0.17688551113246925
2020-02-16,-0.15963429516226207,-0.17540464694973992
2020-02-17,-0.1453390036876298,-0.1784618966155816
2020-02-18,-0.1743259385391374,-0.19316678301189927
2020-02-19,-0.20331287339064497,-0.21548365405011838
2020-02-20,-0.23229980824215257,-0.2419594218061104
2020-02-21,-0.2612867430936601,-0.26312007674678783
2020-02-22,-0.29027367794516773,-0.2777660971071744
2020-02-23,-0.3192606127966753,-0.28463367418370505
2020-02-24,-0.3482475476481829,-0.28239471233422564
2020-02-25,-0.29253414430300617,-0.26965682897799337
2020-02-26,-0.23682074095782946,-0.25009838048668
2020-02-27,-0.18110733761265274,-0.22624272722258104
2020-02-28,-0.1739157528520928,-0.20083065007373746
2020-02-29,-0.16672416809153284,-0.17682035045393585
2020-03-01,-0.15953258333097292,-0.15738745030270834
2020-03-02,-0.15234099857041297,-0.14642789643559354
2020-03-03,-0.14514941380985302,-0.14713306488506384
2020-03-04,-0.15011138056647666,-0.15124848799111182
2020-03-05,-0.1550733473231003,-0.15619837527945077
2020-03-06,-0.16003531407972396,-0.1585841485492819
2020-03-07,-0.1649972808363476,-0.1612646596458587
2020-03-08,-0.16995924759297124,-0.16365182674356343
2020-03-09,-0.16779673605423084,-0.1651357038930567
2020-03-10,-0.16563422451549048,-0.16508448102127743
2020-03-11,-0.1634717129767501,-0.16284448393144274
2020-03-12,-0.15869611388743943,-0.15942297374388886
2020-03-13,-0.1539205147981288,-0.15505743659263452
2020-03-14,-0.14914491570881813,-0.15007348137953483
2020-03-15,-0.1443693166195075,-0.14488483977428138
2020-03-16,-0.13959371753019684,-0.13999336621440245
2020-03-17,-0.1348181184408862,-0.13325755205649065
2020-03-18,-0.13004251935157554,-0.12626164350117944
2020-03-19,-0.12526692026226488,-0.12038981413571823
2020-03-20,-0.12049132117295425,-0.11646435281158551
2020-03-21,-0.11571572208364359,-0.12053261356016849
2020-03-22,-0.11094012299433294,-0.12474736393733188
2020-03-23,-0.10616452390502229,-0.1290818136579654
2020-03-24,-0.12611003614522903,-0.13344503434057062
2020-03-25,-0.14605554838543577,-0.1376819595072612
2020-03-26,-0.16600106062564252,-0.14157338458376262
2020-03-27,-0.18594657286584926,-0.1453488075097445
2020-03-28,-0.13131404269388108,-0.14823338034287942
2020-03-29,-0.1336257032554509,-0.14945386584064835
2020-03-30,-0.1359373638170207,-0.14823863746034066
2020-03-31,-0.13824902437859055,-0.1438176793590541
2020-04-01,-0.14056068494016036,-0.13421717215645623
2020-04-02,-0.14287234550173017,-0.12442889314468804
2020-04-03,-0.13791876408359474,-0.11907657419760362
2020-04-04,-0.1329651826654593,-0.12241590177077029
2020-04-05,-0.12801160124732391,-0.12800832641362891
2020-04-06,-0.12305801982918849,-0.14795387978110985
2020-04-07,-0.11810443841105306,-0.17801222397235084
2020-04-08,-0.1787189693719523,-0.21424008923260482
2020-04-09,-0.23933350033285153,-0.25299127395323967
2020-04-10,-0.29994803129375075,-0.2909166446717384
2020-04-11,-0.36056256225465,-0.3239581794898938
2020-04-12,-0.42117709321554925,-0.3488020164697493
2020-04-13,-0.3906627236314034,-0.36236561302326714
2020-04-14,-0.3601483540472576,-0.36179774591232816
2020-04-15,-0.32963398446311176,-0.34447851124873174
2020-04-16,-0.299119614878966,-0.3139098705314377
2020-04-17,-0.26860524529482016,-0.2756350225882983
2020-04-18,-0.23809087571067433,-0.2356131294006263
2020-04-19,-0.20757650612652853,-0.20021931610319432
2020-04-20,-0.1770621365423827,-0.17624467098423532
2020-04-21,-0.1465477669582369,-0.15957466583578556
2020-04-22,-0.11603339737409106,-0.15022637491677837
2020-04-23,-0.1306839998776424,-0.14708663063685046
2020-04-24,-0.14533460238119372,-0.148861797580437
2020-04-25,-0.15998520488474507,-0.15407777250677152
2020-04-26,-0.17463580738829643,-0.1607653907614768
2020-04-27,-0.18928640989184775,-0.1673517747770577
2020-04-28,-0.18557321405538335,-0.17204324664948298
2020-04-29,-0.17500053915601071,-0.17282532813818532
2020-04-30,-0.16442786425663808,-0.16746274066606132
2020-05-01,-0.15385518935726542,-0.15881815064611024
2020-05-02,-0.14328251445789278,-0.14846796261128392
2020-05-03,-0.13716658206098514,-0.13805665889691887
2020-05-04,-0.13105064966407748,-0.12929679964073634
2020-05-05,-0.12493471726716984,-0.12396902278284234
2020-05-06,-0.11881878487026219,-0.12133246598529535
2020-05-07,-0.11270285247335454,-0.12098063082179708
2020-05-08,-0.11983085781339278,-0.12176537735509119
2020-05-09,-0.12695886315343102,-0.12431503973495836
2020-05-10,-0.1340868684934693,-0.12895590103815902
2020-05-11,-0.14121487383350753,-0.13632928069185152
2020-05-12,-0.14834287917354577,-0.1465001859730993
2020-05-13,-0.1561352772424966,-0.15927190559728005
2020-05-14,-0.16392767531144745,-0.1741860097180857
2020-05-15,-0.18673164398081163,-0.1905223499275225
2020-05-16,-0.2095356126501758,-0.21391880139259947
2020-05-17,-0.23233958131954002,-0.24016223790463648
2020-05-18,-0.2551435499889042,-0.2655112547362854
2020-05-19,-0.2779475186582684,-0.28669616864153014
2020-05-20,-0.30075148732763257,-0.30091901785568664
2020-05-21,-0.32355545599699675,-0.29962752893766514
2020-05-22,-0.34635942466636094,-0.28628331188271017
2020-05-23,-0.3013622063192115,-0.2660942325983723
2020-05-24,-0.25636498797206214,-0.2467113659643147
2020-05-25,-0.21136776962491272,-0.2288073791003031
2020-05-26,-0.16637055127776332,-0.21339911214299287
2020-05-27,-0.12137333293061393,-0.20165965479480155
2020-05-28,-0.16588148287607704,-0.19504844717468933
2020-05-29,-0.21038963282154016,-0.19531127981815913
2020-05-30,-0.25489778276700326,-0.2044802936772566
2020-05-31,-0.24699964766403548,-0.21244621703177963
2020-06-01,-0.23910151256106768,-0.21913167109664994
2020-06-02,-0.23026376020246264,-0.22374231050752336
2020-06-03,-0.22142600784385763,-0.2247668233207897
2020-06-04,-0.2125882554852526,-0.2199769310135729
2020-06-05,-0.20375050312664755,-0.22215691468341514
2020-06-06,-0.19491275076804254,-0.23174919497467394
2020-06-07,-0.22914033942978224,-0.24971698251685723
2020-06-08,-0.2633679280915219,-0.2702880230717637
2020-06-09,-0.29759551675326157,-0.2984188802567801
2020-06-10,-0.33182310541500126,-0.3176130611783209
2020-06-11,-0.36605069407674096,-0.32808033603776127
2020-06-12,-0.353011550663078,-0.3298653888416018
2020-06-13,-0.3399724072494151,-0.32284781740146806
2020-06-14,-0.32693326383575216,-0.3067421333341105
2020-06-15,-0.3138941204220892,-0.2884677751688228
2020-06-16,-0.2019287793989359,-0.2695492008931571
2020-06-17,-0.21133305157401153,-0.2519159138588077
2020-06-18,-0.22073732374908717,-0.23790246278161156
2020-06-19,-0.23014159592416283,-0.23024844174154804
2020-06-20,-0.23954586809923847,-0.22555386574152936
2020-06-21,-0.2489501402743141,-0.22373251712248127
2020-06-22,-0.2384202161983102,-0.22467547035802024
2020-06-23,-0.22789029212230624,-0.2282510920544537
2020-06-24,-0.21736036804630232,-0.2206075674356196
2020-06-25,-0.2068304439702984,-0.20896601112568922
2020-06-26,-0.19630051989429448,-0.19545544976008863
2020-06-27,-0.18577059581829053,-0.18215490582429095
2020-06-28,-0.1752406717422866,-0.17109339765381615
2020-06-29,-0.1647107476662827,-0.16424993943423122
2020-06-30,-0.15418082359027874,-0.16228722244516935
2020-07-01,-0.14365089951427482,-0.16430601892322144
2020-07-02,-0.15858063025916458,-0.16936820990240573
2020-07-03,-0.17351036100405431,-0.17649678521416784
2020-07-04,-0.18844009174894408,-0.18467584348738092
2020-07-05,-0.20336982249383384,-0.19166045530141854
2020-07-06,-0.21829955323872358,-0.19734871758578099
2020-07-07,-0.21206710704698956,-0.20144725442035422
2020-07-08,-0.20583466085525554,-0.2034712170354095
2020-07-09,-0.19960221466352152,-0.20274428381160373
2020-07-10,-0.1933697684717875,-0.20019541962294468
2020-07-11,-0.18713732228005348,-0.20170809549549257
2020-07-12,-0.19776514808645027,-0.20648587867385298
2020-07-13,-0.20839297389284706,-0.21400402750228845
2020-07-14,-0.21902079969924385,-0.22400949142471815
2020-07-15,-0.22964862550564064,-0.23235599168546073
2020-07-16,-0.24027645131203743,-0.23873497659957416
2020-07-17,-0.2753902785751009,-0.24275976860121506
2020-07-18,-0.2602981428079162,-0.24396556424363836
2020-07-19,-0.24520600704073148,-0.2418094341991974
2020-07-20,-0.23011387127354674,-0.23752130961065882
2020-07-21,-0.21502173550636203,-0.2321018807621175
2020-07-22,-0.21742219915425415,-0.2265643048770874
2020-07-23,-0.2198226628021463,-0.2219342061185013
2020-07-24,-0.22222312645003842,-0.21924967558871117
2020-07-25,-0.22462359009793056,-0.2229516407619494
2020-07-26,-0.22702405374582268,-0.22903507031188436
2020-07-27,-0.2362742827464195,-0.2368185903499052
2020-07-28,-0.24552451174701637,-0.24540053409357507
2020-07-29,-0.2547747407476132,-0.25365894186663096
2020-07-30,-0.26402496974821005,-0.26308228363589015
2020-07-31,-0.2732751987488069,-0.27311303991599184
2020-08-01,-0.2825254277494037,-0.2831840960243675
2020-08-02,-0.29177565675000056,-0.2927187420812403
2020-08-03,-0.3010258857505974,-0.3011306730096255
2020-08-04,-0.3102761147511942,-0.3093977996103692
2020-08-05,-0.31952634375179106,-0.316920379750699
2020-08-06,-0.32298707669117555,-0.32323124211020227
2020-08-07,-0.32644780963056,-0.3279957861808262
2020-08-08,-0.32990854256994456,-0.33101198226687756
2020-08-09,-0.33336927550932904,-0.33221037148502325
2020-08-10,-0.3368300084487135,-0.33165406576428963
2020-08-11,-0.33143116268355405,-0.329538747846063
2020-08-12,-0.32603231691839457,-0.3264041979345449
2020-08-13,-0.3206334711532351,-0.32253496818712835
2020-08-14,-0.3152346253880757,-0.3175736778433539
2020-08-15,-0.3098357796229162,-0.3116789124371526
2020-08-16,-0.3044369338577567,-0.30511655348664235
2020-08-17,-0.29903808809259724,-0.29825977849412805
